folder,date,kind,source_slot,derivation,duration_s,yt_priority,yt_title,yt_description,known_imperfections,note,hook_ocr
2026-08-06-igr-1800,2026-08-06,reel,igr-1800,passthrough (bytes identical to IG reel),41.3,1,"Banki płacą 100 tys. $ miesięcznie, żeby czytać posty Trumpa 5 minut przed tobą","Banki płacą 100 tys. $ miesięcznie, żeby czytać posty Trumpa 5 minut przed tobą

Wydanie WTF.LIFE z 6 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts",none known,film line — ONE per day on YouTube (S-9),Banki placa sto tysiecy dolarow miesiecznie - zeby czytac posty Trumpa piec minut przed toba. CZYTAC POSTY TRUMPA WTF.LIFE
2026-08-06-anthropic-chips,2026-08-06,community_image,anthropic-chips,"none — jpg only, not a Short; candidate for a Community post image",,4,Anthropic buduje własny chip dla Claude'a (karuzela 5 kart),,"static image, no audio",Community tab (needs channel eligibility),1/5 Anthropic buduje wlasny chip dla Claude'a
2026-08-07-igr-1800,2026-08-07,reel,igr-1800,passthrough (bytes identical to IG reel),42.6,1,Polska giełda pobiła rekord sprzed 19 lat — i cisza,"Polska giełda pobiła rekord sprzed 19 lat — i cisza

Wydanie WTF.LIFE z 7 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts",none known,film line — ONE per day on YouTube (S-9),Polska gielda pobila rekord sprzed 19 lat — i cisza. WTF.LIFE
2026-08-07-igs-2015,2026-08-07,stories,igs-2015,"concat parts 1-4, stream copy",57.7,3,Polska giełda pobiła rekord sprzed 19 lat. Cisza w mediach — dlaczego?,"Polska giełda pobiła rekord sprzed 19 lat. Cisza w mediach — dlaczego?

Wydanie WTF.LIFE z 7 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts","carries IG story chrome (CZĘŚĆ n/4 progress bar, ""dalej ▶"")",SKIP on YouTube: same message as the day's reel (S-9),"CZESC 1/4 950 100 130 160 130 Polska gielda wlasnie pobila rekord sprzed 19 lat. Cisza w mediach. Sprawdz, czy Twoje pieniadze to wiedza. WTF.LIFE dalej"
2026-08-08-igr-0740,2026-08-08,reel,igr-0740,passthrough (bytes identical to IG reel),57.6,1,"Złoto 4 340 $, giełdy na rekordach. To nie powinno dziać się jednocześnie","Złoto 4 340 $, giełdy na rekordach. To nie powinno dziać się jednocześnie

Wydanie WTF.LIFE z 8 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts",none known,film line — ONE per day on YouTube (S-9),Zloto 4 34o dolarow. Gieldy na rekordach. To sienie powinno dziacjednoczesnie. WTF.LIFE tresciglos wygenerowaneprzezThreadWizard.xyz AI
2026-08-08-igs-0745,2026-08-08,stories,igs-0745,"concat parts 1-4, stream copy",76.6,3,"Giełdy biją rekordy, VIX śpi, złoto 4 340 $ za uncję. Coś tu nie gra","Giełdy biją rekordy, VIX śpi, złoto 4 340 $ za uncję. Coś tu nie gra

Wydanie WTF.LIFE z 8 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts","carries IG story chrome (CZĘŚĆ n/4 progress bar, ""dalej ▶"")",SKIP on YouTube: same message as the day's reel (S-9),CZESC 1/4 Gieldy bijarekordy. VIX spi. A zloto wlasnie osiagnelo 4 340 dolarow za uncje. Cos tu bardzo nie gra - i dotyczy tez twoich oszczednosci. WTF.LIFE treseigloswygenerowaneprzez ThreadWizard.xy
2026-08-08-ig-1230,2026-08-08,community_image,ig-1230,"none — jpg only, not a Short; candidate for a Community post image",,4,W USA gorzej z pracą. Giełda się ucieszyła. Serio.,,"static image, no audio",Community tab (needs channel eligibility),1/5 W USA gorzej z praca. Gielda sie ucieszyla. Serio. Slabsze dane z rynku pracy brzmia jak zla wiadomosé. Dla inwestorow staly sie jednak powodem do optymizmu. Juz tlumaczymy ten dziwny mechanizm.
2026-08-09-igr-0740,2026-08-09,reel,igr-0740,passthrough (bytes identical to IG reel),40.3,1,ISW ostrzega: atak na Kijów przed 24 sierpnia. To plan — nie rozkaz,"ISW ostrzega: atak na Kijów przed 24 sierpnia. To plan — nie rozkaz

Wydanie WTF.LIFE z 9 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts",none known,film line — ONE per day on YouTube (S-9),IsW ostrzega: atak na Kij6w przed 24 sierpnia. To plan — nie rozkaz. tresc i gloswygenerowaneprzez ThreadWizard.xyz AI WTF.LIFE
2026-08-09-igs-0745,2026-08-09,stories,igs-0745,"concat parts 1-4, stream copy",47.5,3,Rosja może uderzyć w energetykę Kijowa przed 24 sierpnia. Atak czy tylko plan?,"Rosja może uderzyć w energetykę Kijowa przed 24 sierpnia. Atak czy tylko plan?

Wydanie WTF.LIFE z 9 sierpnia 2026.

Książka i audiobook „WTF?! KRYPTO” — WWW.WTF.LIFE · KOD: WTF = −10%

Treść i głos wygenerowane przez NAIS.WTF AI · autopromocja

#wtf #geopolityka #bitcoin #finanse #autopromocja #Shorts","carries IG story chrome (CZĘŚĆ n/4 progress bar, ""dalej ▶"")",SKIP on YouTube: same message as the day's reel (S-9),"CZESC 1/4 ISW ostrzegl:Rosja moze uderzyc w energetyke Kijowa przed 24 sierpnia.16 dni. Ale czy to atak, czy tylko plan? trese i gloswygenerowane przez ThreadWizard.xyz AI WTF.LIFE dalej"
2026-08-09-ig-1230,2026-08-09,community_image,ig-1230,"none — jpg only, not a Short; candidate for a Community post image",,4,"Ropa w piątek +1,3%. Czy jutro zapłacisz więcej?",,"static image, no audio",Community tab (needs channel eligibility),"1/5  Ropa w piatek +1,3%. Czy jutro zaplacisz wiecej? Krotka odpowiedz: niekoniecznie. I nie dlatego, ze cos jest ukryte - po prostu miedzy barylka a baczkiem jest kilka przystankow. WTF.LIFE obraz wy"
